Nombre,Empresa,Tecnología,Fase,Combustible,Matriz,Sector,Fecha operación,Capacidad (MW),Generación (GWh),Inversión (mdd),Modalidad,Entidad,Permiso CRE,MIA,Aprobación MIA,Notas,X,Y
Orejana,"Fisterra Energy Orejana, S.R.L. de C.V.",Fotovoltaica,En operación,Sol,Alten,Privado,2019,125.05,293.7,182,Generación,Sonora,E/1749/GEN/2016,,No encontrado,,-12438771.930672506,3397422.4517352465
107 CCI Baja California Sur (II),CFE Generacion III,Combustión interna,En operación,Combustoleo,CFE,Público,2009,42,1052.64,null,Generación,Baja California Sur,E/1686/GEN/2015,03BS2003E0006,Autorizado condicionado,,-12273593.202643363,2777550.737353624
Sol de Insurgentes,Sol de Insurgentes S. de R.L. de C.V. adquirido por Solairdirect filial de ENGIE en 2016,Fotovoltaica,En operación,Sol,ENGIE,Privado,2021,27.2,75,36,Generación,Baja California Sur,E/2218/GEN/2019,03BS2014ED021,Autorizado condicionado,,-12440645.534550514,2900787.5601984523
Isla el Cayo,CFE,Turbina Hidráulica,En proyecto sin permiso de la CRE,Agua,CFE,Público,null,180,null,null,No definida,Chiapas,Permiso no encontrado,,No encontrado,,-10154247.570150826,1928506.0074097784
La Linea,CFE,Turbina Hidráulica,En proyecto sin permiso de la CRE,Agua,CFE,Público,null,150,null,null,No definida,Chiapas,Permiso no encontrado,,No encontrado,,-10175803.765778713,1944808.6441671525
Proyecto CONDE,Grupo ICA,Turbina Hidráulica,En proyecto sin permiso de la CRE,Agua,Grupo ICA,Privado,null,15,null,16,No definida,Puebla,Permiso no encontrado,21PU2015E0055,Negado,,-10862051.725596325,2266438.652523987
Central 27 de Septiembre (El Fuerte),CFE,Turbina Hidráulica,En operación,Agua,CFE,Público,1955,59.4,234.84,89.1,Generación,Sinaloa,E/1618/GEN/2015,,No encontrado,,-12086536.30850992,3062059.965649088
PIER II Fase B2,"Parque Industrial de Energía Renovable, S. A. de C. V.",Eólico,En operación,Viento,Iberdrola,Privado,2020,89.25,267.75,178.5,Autoabastecimiento,Puebla,E/1204/AUT/2014,21PU2015E0027,Autorizado condicionado,,-10839207.822834374,2128668.935391593
Central Fotovoltaica La Pasión,Saferay Solar S. A. P. I. de C.V.,Fotovoltaica,En proyecto con permiso de la CRE revocado,Sol,Saferay,Privado,null,30,58.18,45,Pequeño Productor,Baja California Sur,E/989/PP/2013,03BS2013ED010,Autorizado condicionado,,-12279602.615035018,2752115.9422688847
CCI Baja California Sur (Unidades móviles),CFE - Generacion I,Combustión interna,En operación,Gas Natural y Combustoleo,CFE,Público,2021,146,2008.23,null,Generación,Baja California Sur,E/1686/GEN/2015,03BS2020E0007,Autorizado,,-12273196.498939998,2777708.4882768
El Mezquite (Parcela 11),"Parque Eólico El Mezquite, S. A. P. I. de C. V.",Eólico,En operación,Viento,Sowitec / Cubico Sustainable Investments,Privado,2019,20,66.84,40,Generación,Nuevo León,E/1392/GEN/2015,19NL2012E0016,Autorizado,,-11189438.750173401,3032350.5409871894
Central Necaxa 3,"Generadora Fénix, S. A. P. I. de C. V.",Turbina Hidráulica,En operación,Agua,Mota-Engil / SME,Privado,2016,8,42.05,12,Generación,Puebla,E/1805/GEN/2016,,No encontrado,,-10907879.683472328,2298735.176839
Central Necaxa 4,"Generadora Fénix, S. A. P. I. de C. V.",Turbina Hidráulica,En operación,Agua,Mota-Engil / SME,Privado,2016,8,42.05,12,Generación,Puebla,E/1806/GEN/2016,,No encontrado,,-10907888.572333667,2298728.9903910933
Central Necaxa 5,"Generadora Fénix, S. A. P. I. de C. V.",Turbina Hidráulica,En operación,Agua,Mota-Engil / SME,Privado,2016,8,42.05,12,Generación,Puebla,E/1807/GEN/2016,,No encontrado,,-10907876.237020893,2298721.8371279305
Centro Operativo Cayo Arcas,PEMEX,Combustión interna,En operación,Diesel,PEMEX,Público,1991,5.5,21.9,4.95,Autoabastecimiento,Campeche,E/39/AUT/96,,No encontrado,,-10237249.594404573,2296908.7996907686
Central Necaxa 1,"Generadora Fénix, S. A. P. I. de C. V.",Turbina Hidráulica,En operación,Agua,Mota-Engil / SME,Privado,2016,16,84.09,24,Generación,Puebla,E/1804/GEN/2016,,No encontrado,,-10907903.211959902,2298770.8708451833
Central Necaxa 10,"Generadora Fénix, S. A. P. I. de C. V.",Turbina Hidráulica,En operación,Agua,Mota-Engil / SME,Privado,2016,16,84.09,24,Generación,Puebla,E/1812/GEN/2016,,No encontrado,,-10907899.982581476,2298741.36566154
Central Necaxa 6,"Generadora Fénix, S. A. P. I. de C. V.",Turbina Hidráulica,En operación,Agua,Mota-Engil / SME,Privado,2016,7,36.79,10.5,Generación,Puebla,E/1808/GEN/2016,,No encontrado,,-10907952.658964518,2298766.7176721836
Central Necaxa 7,"Generadora Fénix, S. A. P. I. de C. V.",Turbina Hidráulica,En operación,Agua,Mota-Engil / SME,Privado,2016,7,36.79,10.5,Generación,Puebla,E/1809/GEN/2016,,No encontrado,,-10907866.915126733,2298742.532961251
Central Necaxa 8,"Generadora Fénix, S. A. P. I. de C. V.",Turbina Hidráulica,En operación,Agua,Mota-Engil / SME,Privado,2016,7,36.79,10.5,Generación,Puebla,E/1810/GEN/2016,,No encontrado,,-10907869.832810588,2298711.0087772943
Aguascalientes Sur I,Infraestructura Energética del Norte S. de R.L. de C.V.,Fotovoltaica,En operación,Sol,OPDE Energy,Privado,2020,37.32,70.63,46.69,Generación,Aguascalientes,E/2128/GEN/2018,01AG2017E0058,Autorizado,,-11377544.355173344,2483450.383887991
Oasis,"PURE POWER VENTURE MEXICO, S.A.P.I. DE C.V.",Fotovoltaica,En proyecto sin permiso de la CRE,Sol,"PURE POWER VENTURE MEXICO, S.A.P.I. DE C.V.",Privado,null,30,null,5,No definida,Chihuahua,Permiso no encontrado,,No encontrado,,-11631404.88502453,3372375.092961054
Parque de celdas solares,"MAS, ENERGIA LIMPIA, S.A.P.I. DE C.",Fotovoltaica,En proyecto sin permiso de la CRE,Sol,"MAS, ENERGIA LIMPIA, S.A.P.I. DE C.",Privado,null,5,null,0,No definida,Sonora,Permiso no encontrado,,No encontrado,,-12351897.529914102,3377089.419095547
Central Necaxa 9,"Generadora Fénix, S. A. P. I. de C. V.",Turbina Hidráulica,En operación,Agua,Mota-Engil / SME,Privado,2016,16,84.09,24,Generación,Puebla,E/1811/GEN/2016,,No encontrado,,-10907914.588811863,2298749.6838598736
Cogeneracion Agua Prieta,Union Energetica del Noroeste S.A. de C.V.,Turbina de Vapor y Combustión interna,En operación,Gas Natural,Union Energetica del Noroeste S.A. de C.V.,Privado,2017,29.7,246.3,27.12,Cogeneración,Sonora,E/1446/COG/2015,26SO2013ED146,Autorizado,,-12200259.27505182,3666397.331821754
El Mezquite (Predio Santa Marta),"Parque Eólico El Mezquite, S. A. P. I. de C. V.",Eólico,En operación,Viento,Sowitec / Cubico Sustainable Investments,Privado,2019,20,66.84,40,Generación,Nuevo León,E/1392/GEN/2015,19NL2012E0016,Autorizado,,-11185776.313322818,3034952.1743747806
Agnico Sonora,"Agnico Sonora, S. A. de C. V.,",Combustión interna,En operación,Diesel,Agnico Eagle Mines Ltd.,Privado,2013,6.15,51.18,5.54,Autoabastecimiento,Sonora,E/1050/AUT/2013,,No encontrado,,-12122072.894121163,3339787.5579374344
Agribrands Purina México,"Agribrands Purina México, S. de R. L. de C. V.",Combustión interna,En operación,Gas Natural,Cargill Inc,Privado,2014,0.87,4.42,0.79,Autoabastecimiento,Guanajuato,E/1039/AUT/2013,,No encontrado,,-11276020.100145902,2348848.719983044
Agrícola Ganadera Los Luján,"Agrícola Ganadera Los Luján, S. P. R. de R. L. de C. V.",Combustión interna,En operación,Biogas,"Agrícola Ganadera Los Luján, S. P. R. de R. L. de C. V.",Privado,2019,0.8,5.06,2.65,Generación,Chihuahua,E/2133/GEN/2018,,No encontrado,,-11732333.350344881,3276498.939048558
Lagos 2,"ALMA ENERGIA, S. DE R. L. DE C. V.",Fotovoltaica,En proyecto sin permiso de la CRE,Sol,"ALMA ENERGIA, S. DE R. L. DE C. V.",Privado,null,100,null,100,Generación,Jalisco,,14JA2019E0078,Negado,,-11341871.472203966,2426702.5427933875
Agroindustrias del Balsas,"Agroindustrias del Balsas, S. A. de C. V.",Turbina de Vapor,En operación,Combustoleo,Grupo Fertina,Privado,1991,15,120.5,18,Autoabastecimiento,Michoacán,E/77/AUT/98,,No encontrado,,-11374199.326926446,2028512.172399201
Alcoholera de Zapopan,"Alcoholera de Zapopan, S. A. de C. V.",Turbina de Vapor,En operación,Bagazo de caña,"Alcoholera de Zapopan, S. A. de C. V.",Privado,2013,8,34.56,9.6,Cogeneración,Veracruz,E/913/COG/2012,,No encontrado,,-10777795.506941216,2141480.399917984
Alfa Corporativo,"Alfa Corporativo, S. A. de C. V.",Combustión interna,En operación,Diesel,Alfa S.A.B de C.V.,Privado,2008,1.98,1.37,1.78,Autoabastecimiento,Nuevo León,E/776/AUT/2008,,No encontrado,,-11172158.777012067,2954129.763252704
Alimentos Kowi,"Alimentos Kowi, S.A. de C.V.",Combustión interna,En operación,Diesel,"Alimentos Kowi, S.A. de C.V.",Privado,2005,1.78,1.03,1.6,Autoabastecimiento,Sonora,E/343/AUT/2005,,No encontrado,,-12184254.275187999,3137873.70237455
Apisa Fasteners Planta Belisario Domínguez 57,"Apisa Fasteners, S. A. de C. V.",Combustión interna,En operación,Diesel,"Apisa Fasteners, S. A. de C. V.",Privado,2007,1.5,1.56,1.35,Autoabastecimiento,Hidalgo,E/687/AUT/2007,,No encontrado,,-11000377.456213046,2259627.419266252
Arcelormittal Las Trucha,"Arcelormittal Las Truchas, S. A. de C. V.",Turbina de Vapor,En operación,Combustoleo,ArcelorMittal,Privado,1978,21.6,120,25.92,Usos Propios Continuos,Michoacán,1016,,No encontrado,,-11378007.875061475,2030797.6650543655
Avomex Internacional,"Avomex Internacional, S. A. de C. V.",Combustión interna,En operación,Diesel,"Avomex Internacional, S. A. de C. V.",Privado,2008,4,2.9,3.6,Autoabastecimiento,Coahuila,E/783/AUT/2008,,No encontrado,,-11256326.039148888,3232294.0259371973
Azinsa Aluminio,"Azinsa Aluminio, S. A. de C. V.",Combustión interna,En operación,Diesel,"Azinsa Aluminio, S. A. de C. V.",Privado,2007,1,0.63,0.9,Autoabastecimiento,Estado de México,E/666/AUT/2007,,No encontrado,,-11037567.850933697,2231078.1098890603
Azsuremex,"Azsuremex, S. A. de C. V.",Turbina de Vapor,En operación,Bagazo de caña y Combustoleo,"Azsuremex, S. A. de C. V.",Privado,1991,2.5,1.95,3,Autoabastecimiento,Tabasco,E/92/AUT/98,,No encontrado,,-10176905.438006153,1973995.637103599
"Barco de Proceso, Almacenamiento y Descarga, Yuum Kiaknaab",Pemex-Exploracion y Produccion,Turbina de Gas,En operación,Gas Natural,PEMEX,Público,2007,62,261.31,55.8,Autoabastecimiento,Campeche,E/614/AUT/2007,,No encontrado,,-10279928.713504255,2196750.437959267
Akra Polyester,"Akra Polyester, S. A. de C. V.",Turbina de Gas,En operación,Gas Natural,Alfa S.A.B de C.V.,Privado,2008,13.9,115.67,12.51,Generación,Tamaulipas,E/565/GEN/2006,,No encontrado,El permiso E/565/AUT/2006 cambió en 2024 por E/565/GEN/2006,-10897324.537447741,2556933.4631453147
Airbus Helicopters Querétaro,"Airbus Helicopters México Querétaro, S. A. de C. V.",Combustión interna,En operación,Gas Natural,Airbus,Privado,2014,2.7,17,2.43,Generación,Queretaro,E/1114/GEN/2014,,No encontrado,,-11150979.66614049,2347108.5473022927
Eólica del Sur (Poligono El Espinal),"FEMSA, Mitsubishi, MMIF",Eólico,En operación,Viento,FEMSA / Mitsubishi / Macquarie Capital,Privado,2019,216,1310,792,Autoabastecimiento,Oaxaca,E/1264/AUT/2015,20OA2013E0071,Autorizado,,-10575367.72883853,1863172.6486299832
BASF Mexicana Edomex,"Basf Mexicana, S. A. de C. V.",Combustión interna,En operación,Gas Natural,BASF SE,Privado,2011,1.25,10,1.13,Autoabastecimiento,Estado de México,E/879/AUT/2011,,No encontrado,,-11024541.13280158,2222914.9779263516
Alimentos Sello Rojo,"Alimentos Sello Rojo, S. A. de C. V.",Turbina de Gas,En construcción,Gas Natural,"Alimentos Sello Rojo, S. A. de C. V.",Privado,null,2,14.14,4.45,Generación,Jalisco,E/2175/GEN/2019,,No encontrado,,-11502725.974575734,2348623.993973169
Amatitla,CFE,Turbina Hidráulica,En proyecto sin permiso de la CRE,Agua,CFE,Público,null,13.5,null,null,No definida,Puebla,Permiso no encontrado,,No encontrado,,-10797064.079240935,2188630.1248121187
BASF Mexicana Tamaulipas,"INEOS Styrolution Mexicana, S. A. de C. V.",Turbina de Gas,En operación,Gas Natural,INEOS Ltd.,Privado,1999,10.6,88.93,9.54,Cogeneración,Tamaulipas,E/96/COG/98,,No encontrado,,-10897248.30920003,2562031.257523005
Becton Dickinson,"Becton Dickinson de México, S. A. de C. V.",Combustión interna,En operación,Gas Natural,Becton Dickinson and Co,Privado,2001,6.54,40.87,5.89,Cogeneración,Estado de México,E/184/COG/2001,,No encontrado,,-11042934.563584842,2232907.694388876
Beiersdorf Manufacturing México,"Beiersdorf Manufacturing México, S. A. de C. V.",Combustión interna,En operación,Gas Natural,Maxingvest AG,Privado,2015,1.75,11,2,Generación,Guanajuato,E/1231/GEN/2014,,No encontrado,,-11297084.419471769,2394406.760280029
Bepensa Bebidas Cancún,"Bepensa Bebidas, S. A. de C. V.",Combustión interna,En operación,Diesel,Grupo Bepensa,Privado,2008,2,1.26,1.8,Autoabastecimiento,Quintana Roo,E/787/AUT/2008,,No encontrado,,-9678217.496345354,2406131.6134856082
Biotek Power,"Biotek Power, S. A. de C. V.",Combustión interna,En operación,Gas Natural,Grupo Cuadritos,Privado,2015,8.66,71.03,7.5,Generación,Guanajuato,E/1551/GEN/2015,,No encontrado,,-11219589.05873299,2348488.3734381665
Bombana,CFE,Turbina Hidráulica,En operación,Agua,CFE,Público,1955,2.24,9.7,3.36,Generación,Chiapas,E/1600/GEN/2015,,No encontrado,,-10355569.280019384,1915795.8638536308
Cañada,"Generadora Fénix, S. A. P. I. de C. V.",Turbina Hidráulica,En construcción,Agua,Mota-Engil / SME,Privado,null,1.2,6.31,2.3,Generación,Hidalgo,E/1865/GEN/2016,,No encontrado,,-11041708.41946877,2293391.6480615768
CCI Hol-Box,CFE,Combustión interna,En operación,Diesel,CFE,Público,1985,3.2,7.57,2.88,Generación,Quintana Roo,E/1698/GEN/2015,,No encontrado,,-9726698.625153808,2454008.764834479
CE G. Sanborns,"CE G. Sanborns, S. A. de C. V.",Combustión interna,En operación,Gas Natural,Grupo Carso,Privado,2013,1.15,8.710000000000004,1.04,Cogeneración,Ciudad de México,E/951/COG/2012,,No encontrado,,-11037564.406708652,2207748.0235427287
Celulosa de Fibras Mexicanas,"Celulosa de Fibras Mexicanas, S. A. de C. V.",Turbina de Gas y Turbina de Vapor,En operación,Gas Natural,"Celulosa de Fibras Mexicanas, S. A. de C. V.",Privado,1999,5,33,4.5,Generación,Tlaxcala,E/154/GEN/99,,No encontrado,,-10925854.84574047,2205124.241791696
Celulosa de Fibras Mexicanas,"Celulosa de Fibras Mexicanas, S. A. de C. V.",Combustión interna,En operación,Gas Natural,"Celulosa de Fibras Mexicanas, S. A. de C. V.",Privado,2016,1.2,8.32,null,Generación,Veracruz,E/1725/GEN/2016,,No encontrado,,-10809363.438046603,2136243.103454699
CCI Yecora,CFE,Combustión interna,Central retirada,Diesel,CFE,Público,1977,1.8,0.29,1.62,Generación,Sonora,E/1681/GEN/2015,,No encontrado,,-12126849.892883023,3295512.2742360765
Campo Geotérmico Rancho Viejo,"Geotérmica para el Desarrollo, S. A. P. I. de C. V.",Geotérmica,En proyecto con permiso de la CRE revocado,Calor Geotermico,Grupo Salinas,Privado,null,25,186,30,Autoabastecimiento,Hidalgo,E/1430/AUT/2015,,No encontrado,,-11097122.220035229,2338903.8242779113
Black Creek Helios,"Black Creek Helios, S. A. P. I. de C. V.",Fotovoltaica,En proyecto con permiso de la CRE revocado,Sol,Clifftop Capital Management´s,Privado,null,32.93,74.97,2.32,Generación,Sonora,E/2154/GEN/2019,,No encontrado,,-12205744.309189726,3666774.029217569
AIFA Gas 1,Secretaría de la Defensa Nacional,Turbina de Vapor y Motogenerador,En proyecto con permiso de la CRE terminado,Gas Natural y Diesel,Sedena,Público,null,20.6,161.52,28.96,Generación,Estado de México,E/2253/GEN/2021,No encontrado,No encontrado,,-11023942.672539905,2240889.3762379736
Bateve Solar,"Bateve Solar, S. A. P. I. de C. V.",Fotovoltaica,En proyecto con permiso de la CRE terminado,Sol,"Bateve Solar, S. A. P. I. de C. V.",Privado,null,85,179.41,113.9,Generación,Sonora,E/1777/GEN/2016,,No encontrado,,-12323112.158611704,3251182.420532353
Campanario,CFE,Turbina Hidráulica,En proyecto sin permiso de la CRE,Agua,CFE,Público,null,15,null,null,No definida,Veracruz,Permiso no encontrado,,No encontrado,,-10785969.953184996,2195534.720134839
CC Con-Gas,"Con-Gas, S.A.P.I de C.V.",Ciclo Combinado,En proyecto con permiso de la CRE revocado,Gas Natural,"Con-Gas, S.A.P.I de C.V.",Privado,null,340,2978,null,Autoabastecimiento,Nuevo León,E/1104/AUT/2013,,No encontrado,,-11106548.594215536,3208755.915438854
Celulosa y Papel del Bajío,"Celulosa y Papel del Bajío, S. A. de C. V.",Combustión interna,En operación,Gas Natural,"Celulosa y Papel del Bajío, S. A. de C. V.",Privado,2015,1.77,15.01,1.59,Cogeneración,Guanajuato,E/1102/COG/2013,,No encontrado,,-11321706.95500135,2403780.271390065
Central Árbol III,Teléfonos de México S.A.B. de C.V. (Telmex),Combustión interna,En operación,Diesel,Grupo Carso,Privado,2006,1.55,0.87,1.4,Autoabastecimiento,Baja California,E/550/AUT/2006,,No encontrado,,-12855495.39582752,3850696.901708197
Central Copérnico,Teléfonos de México S.A.B. de C.V. (Telmex),Combustión interna,En operación,Diesel,Grupo Carso,Privado,2006,1,0.31,0.9,Autoabastecimiento,Chihuahua,E/476/AUT/2005,,No encontrado,,-11846828.965434868,3725876.828184885
Central Cuautitlán de Romero Rubio,Teléfonos de México S.A.B. de C.V. (Telmex),Combustión interna,En operación,Diesel,Grupo Carso,Privado,2005,1.25,0.87,1.13,Autoabastecimiento,Ciudad de México,E/460/AUT/2005,,No encontrado,,-11040909.558520187,2234262.737387336
Central Cuyoaco Granja Carroll,"Granjas Carroll de México, S. de R. L. de C. V., Central Cuyoaco",Combustión interna,En operación,Biogas,Ecom agroindustrial corp. ltd,Privado,2017,1.08,7.82,0.83,Generación,Puebla,E/1823/GEN/2016,,No encontrado,,-10856630.598864887,2217023.177119082
Central España,"Altopro, S. A. de C. V., Central España",Combustión interna,En operación,Gas Natural,Altopro,Privado,2016,2.61,20.59,2.55,Generación,Ciudad de México,E/1543/GEN/2015,,No encontrado,,-11029813.335205039,2193235.1325465385
Central Irapuato,"Altopro, S. A. de C. V., Central Irapuato",Combustión interna,En operación,Gas Natural,Altopro,Privado,2016,3.92,30.89,2.92,Generación,Guanajuato,E/1544/GEN/2015,,No encontrado,,-11282226.384396609,2366139.786001581
Central Itzicuaro,"CFE - Generacion II, Central Itzicuaro",Turbina Hidráulica,En operación,Agua,CFE,Público,1920,0.62,3.87,0.94,Generación,Michoacán,E/1591/GEN/2015,,No encontrado,,-11402468.429600004,2223355.758037793
Central La Costeña,"Conservas La Costeña, S. A. de C. V. y Jugomex, S. A. de C. V.",Combustión interna,En operación,Gas Natural y Biogas,"Conservas La Costeña, S. A. de C. V. y Jugomex, S. A. de C. V.",Privado,2004,0.97,8.11,0.87,Cogeneración,Estado de México,E/297/COG/2004,,No encontrado,,-11025501.906836325,2221345.6856959583
Central Mazatepec,CFE,Turbina Hidráulica,En operación,Agua,CFE,Público,1962,244,615,330,Generación,Puebla,E/1615/GEN/2015,,No encontrado,,-10843258.01552765,2274818.34600484
Central Parque Industrial Parral,Gobierno del Estado de Chihuahua,Fotovoltaica,En proyecto con permiso de la CRE,Sol,Gobierno del Estado de Chihuahua,Público,null,2.22,19.45,25,Generación,Chihuahua,E/1734/GEN/2016,,No encontrado,,-11756589.18500026,3104765.33840842
Central Plaza Mérida,Teléfonos de México S.A.B. de C.V. (Telmex),Combustión interna,En operación,Diesel,Grupo Carso,Privado,2005,1.25,0.86,1.13,Autoabastecimiento,Yucatán,E/393/AUT/2005,,No encontrado,,-9977056.884637764,2388170.977062019
Central Axtel,"Axtel, S. A. B. de C. V.",Combustión interna,En proyecto con permiso de la CRE terminado,Gas Natural,Alfa S.A.B de C.V.,Privado,2017,5.31,43.57,4.9,Generación,Queretaro,E/1967/GEN/2017,22QE2015E0006,Autorizado condicionado,,-11162964.932550102,2339189.299232245
Central Parral,"CUATRO SOLAR, S. A. P. I. DE C. V.,",Fotovoltaica,En proyecto con permiso de la CRE revocado,Sol,"CUATRO SOLAR, S. A. P. I. DE C. V.,",Privado,null,30,60,105,Pequeño Productor,Chihuahua,E/1312/PP/2015,,No encontrado,,-11762269.978915505,3125133.837759907
Central Popocatépetl 1,Teléfonos de México S.A.B. de C.V. (Telmex),Combustión interna,En operación,Diesel,Grupo Carso,Privado,2005,1.8,1.26,1.62,Autoabastecimiento,Ciudad de México,E/404/AUT/2005,,No encontrado,,-11038220.664049946,2197504.4891837407
Central Portezuelos I,CFE,Turbina Hidráulica,En operación,Agua,CFE,Público,1991,2.8,13.73,4.2,Generación,Puebla,E/1567/GEN/2015,,No encontrado,,-10947498.249057444,2146231.4325310052
Central Portezuelos II,CFE,Turbina Hidráulica,En operación,Agua,CFE,Público,1964,2.12,5.97,3.18,Generación,Puebla,E/1568/GEN/2015,,No encontrado,,-10950817.4244658,2145454.749344606
Central Proteína Animal,"Proteína Animal, S. A. de C. V.",Combustión interna,En operación,Diesel,"Proteína Animal, S. A. de C. V.",Privado,2011,4.46,4.63,4.01,Autoabastecimiento,Jalisco,E/876/AUT/2011,,No encontrado,,-11389182.693276705,2425481.605802648
Central Reforma,"Altopro, S. A. de C. V., Central Reforma",Combustión interna,En operación,Gas Natural,Altopro,Privado,2016,2.61,20.59,1.9,Generación,Ciudad de México,E/1545/GEN/2015,,No encontrado,,-11029841.189568024,2193024.7694945647
Central Sánchez y Martín,"Sánchez y Martín, S. A. de C. V.",Combustión interna,En operación,Diesel,"Sánchez y Martín, S. A. de C. V.",Privado,2008,1.83,1.9,1.64,Autoabastecimiento,Jalisco,E/704/AUT/2007,,No encontrado,,-11506097.189619647,2349712.833668187
Central Zaragoza,Teléfonos de México S.A.B. de C.V. (Telmex),Combustión interna,En operación,Diesel,Grupo Carso,Privado,2005,1.25,0.87,1.13,Autoabastecimiento,Ciudad de México,E/392/AUT/2005,,No encontrado,,-11028345.063404128,2202751.5319728097
Centro Administrativo Lada,Teléfonos de México S.A.B. de C.V. (Telmex),Combustión interna,En operación,Diesel,Grupo Carso,Privado,2005,1.25,0.97,1.13,Autoabastecimiento,Ciudad de México,E/334/AUT/2005,,No encontrado,,-11043018.499594094,2207586.2921189237
Centro de Proceso  ZAAP-C,PEMEX,Turbina de Gas y Combustion interna,En operación,Gas Dulce y Diesel,PEMEX,Público,2007,7.2,63.07,12.24,Autoabastecimiento,Campeche,E/610/AUT/2007,,No encontrado,,-10265778.85184131,2219832.176020198
Centro de Proceso Akal-B,PEMEX,Turbina de Gas y Combustion interna,En operación,Gas Natural y Diesel,PEMEX,Público,2002,23.3,173.49,20.97,Autoabastecimiento,Campeche,E/213/AUT/2002,,No encontrado,,-10246899.380123734,2198084.4109154553
Centro de Proceso Akal-C,PEMEX,Turbina de Gas y Combustion interna,En operación,Gas Natural y Diesel,PEMEX,Público,1991,27.77,140.64,24.99,Autoabastecimiento,Campeche,E/103/AUT/98,,No encontrado,,-10247707.534023412,2200852.1591089275
Centro de Proceso Akal-GC,PEMEX,Turbina de Gas y Combustion interna,En operación,Gas Natural y Diesel,PEMEX,Público,2008,10.5,55.78,9.45,Autoabastecimiento,Campeche,E/736/AUT/2008,,No encontrado,,-10244910.07855936,2198611.5702724634
Centro de Proceso Akal-L,PEMEX,Turbina de Gas y Combustion interna,En operación,Gas Natural y Diesel,PEMEX,Público,2004,24.73,169.87,22.26,Autoabastecimiento,Campeche,E/243/AUT/2003,,No encontrado,,-10248515.687923087,2199006.948978868
Centro de Proceso KU-M,PEMEX,Turbina de Gas y Combustion interna,En operación,Gas Natural y Diesel,PEMEX,Público,2007,14.85,78.17,13.37,Autoabastecimiento,Campeche,E/664/AUT/2007,,No encontrado,,-10264989.588859221,2214367.138103555
Central Villa Juanita,"Juanita Electric, S. A. P. I. de C. V.",Turbina de Vapor,En proyecto con permiso de la CRE revocado,Bagazo de caña,Juanita Electric SAPI de CV,Privado,null,28,190.2,33.6,Generación,Veracruz,E/1488/GEN/2015,,No encontrado,,-10601096.702182952,2014824.5232322153
Central Rancho El Aguila,Gobierno del Estado de Chihuahua,Fotovoltaica,En proyecto con permiso de la CRE revocado,Sol,Gobierno del Estado de Chihuahua,Público,null,15.2,32,22.8,Autoabastecimiento,Chihuahua,E/1205/AUT/2014,,No encontrado,,-11850556.922711343,3544968.5791792395
Central UABCS,Universidad Autónoma de Baja California Sur,Fotovoltaica,En proyecto con permiso de la CRE terminado,Sol,Universidad Autónoma de Baja California Sur,Público,null,1.89,3,2.84,Generación,Baja California Sur,E/1253/GEN/2014,,No encontrado,,-12280071.430391325,2766087.8194779335
Central Torreon,"XIII Colima, S. A. P. I. de C. V.",Fotovoltaica,En proyecto con permiso de la CRE revocado,Sol,"XIII Colima, S. A. P. I. de C. V.",Privado,null,30,60,105,Pequeño Productor,Coahuila,E/1326/PP/2015,,No encontrado,,-11498025.079383755,2932415.9893506025
Centro de Proceso KU-S,PEMEX,Turbina de Gas y Combustion interna,En operación,Gas Natural y Diesel,PEMEX,Público,2007,14.3,73.42,12.87,Autoabastecimiento,Campeche,E/650/AUT/2007,,No encontrado,,-10259394.679044314,2215884.047918615
Centro de Proceso Litoral,PEMEX,Turbina de Gas y Combustion interna,En operación,Gas Natural y Diesel,PEMEX,Público,2016,37.86,45.19,39.16,Generación,Tabasco,E/1754/GEN/2016,,No encontrado,,-10310860.2255148,2139971.767212091
Centro de Trabajo Lindavista,Teléfonos de México S.A.B. de C.V. (Telmex),Combustión interna,En operación,Diesel,Grupo Carso,Privado,2005,1.2,0.84,1.08,Autoabastecimiento,Ciudad de México,E/456/AUT/2005,,No encontrado,,-11035607.219704177,2211789.1495448262
Cervecería Cuauhtémoc Moctezuma Planta Puebla,"Cervecería Cuauhtémoc Moctezuma, S. A. de C. V., Planta Puebla",Combustión interna,En operación,Diesel,Heineken Holding NV,Privado,2006,2.5,2.07,2.25,Autoabastecimiento,Puebla,E/520/AUT/2006,,No encontrado,,-10887786.956209326,2182438.6440644586
Cervecería Modelo de Guadalajara,"Cervecería Modelo de Guadalajara, S. de R. L. de C. V.",Turbina de Vapor,En operación,Gas Natural,Anheuser-Busch InBev SA NV (Grupo Modelo),Privado,1978,6.5,43,5.85,Usos Propios Continuos,Jalisco,1044,,No encontrado,,-11507621.96162811,2351659.8926058654
CESPM / Planta Potabilizadora,Comisión Estatal de Servicios Públicos de Mexicali,Combustión interna,En operación,Diesel,Comisión Estatal de Servicios Públicos de Mexicali,Público,2005,1.6,0.75,1.44,Autoabastecimiento,Baja California,E/330/AUT/2005,,No encontrado,,-12850028.224015106,3848255.224236614
Ciudad PEMEX,"Pemex Transformacion Industrial, Complejo Procesador de Gas Cd. Pemex",Turbina de Gas,En operación,Gas Natural,PEMEX,Público,2007,59,495.6,53.1,Generación,Tabasco,E/587/GEN/2007,,No encontrado,,-10296263.262475424,2024492.1855872688
