Nombre,Empresa,Tecnología,Fase,Combustible,Matriz,Sector,Fecha operación,Capacidad (MW),Generación (GWh),Inversión (mdd),Modalidad,Entidad,Permiso CRE,MIA,Aprobación MIA,Notas,X,Y
CC Agua Prieta II,CFE,Ciclo Combinado y Solar,En operación,Gas Natural y Sol,CFE,Público,2013,409.1,3355.31,560.7,Generación,Sonora,E/1847/GEN/2016,,No encontrado,,-12199550.306818437,3667396.6206655926
CC Altamira II (GEN),Electricidad Aguila de Altamira S. de R.L. de C.V.,Ciclo Combinado,En operación,Gas Natural,Mitsui,Privado,2017,49.4,368,50.08,Generación,Tamaulipas,E/1854/GEN/2016,,No encontrado,,-10898430.76152916,2571464.5171708115
CC Centro,CFE,Ciclo Combinado,En operación,Gas Natural,CFE,Público,2021,656.01,5286.88,665.06,Generación,Morelos,E/1722/GEN/2015,17MO2011E0001,Autorizado,,-11007298.927003887,2131549.659927746
CC Chihuahua II (El Encino) y Conversion El Encino TG a CC,CFE,Ciclo Combinado,En operación,Gas Natural,CFE,Público,2001,619.4,4666,627.95,Generación,Chihuahua,E/1697/GEN/2015,,No encontrado,,-11791003.10018851,3305338.0797489807
CT TG Baja California II Fase 2 (2 unidades),CFE,Turbina de Gas,En proyecto sin permiso de la CRE,Gas Natural,CFE,Público,null,88,null,null,No definida,Baja California,Permiso no encontrado,02BC2014E0003,Autorizado condicionado,,-13032158.470368829,3812162.6847084924
CC Altamira II (PIE),Electricidad Aguila de Altamira S. de R.L. de C.V.,Ciclo Combinado,En operación,Gas Natural,Mitsui,Privado,2002,495,3841,523.02,Productor Independiente de Energía,Tamaulipas,E/165/PIE/2000,,No encontrado,La CRE señala 515.9 MW de capacidad y la CFE 495 MW de Capacidad Neta Demostrada,-10898363.718252636,2571395.3175474023
CC Bajio (GEN),Energia Azteca VIII S. de R.L. de C.V.,Ciclo Combinado,En operación,Gas Natural,Saavi Energia,Privado,2002,131.1,969,132.91,Generación,Guanajuato,E/199/GEN/2001,,No encontrado,E/199/AUT/2001 era el permiso anterior de esta central,-11199931.5227741,2421088.422061505
CC Samalayuca II,CFE,Ciclo Combinado,En operación,Gas Natural,CFE,Público,1998,522,4769.35,902.35,Generación,Chihuahua,E/1707/GEN/2015,,No encontrado,,-11854099.007607646,3675577.6396491327
CT Benito Juárez (Samalayuca),CFE,Termoeléctrica,En operación,Gas Natural,CFE,Público,1984,316,4769.35,902.35,Generación,Chihuahua,E/1707/GEN/2015,,No encontrado,,-11853966.880277634,3675863.176522849
Energia Chihuahua,"Energia Chihuahua, S.A. de C.V",Ciclo Combinado,En operación,Gas Natural,Saavi Energia,Privado,2003,50,350.4,50.69,Generación,Chihuahua,E/942/GEN/2012,,No encontrado,E/942/AUT/2012 era el permiso anterior de esta central,-11854235.351719972,3676092.4566271817
